================================================================================
CloudFormation DeletionPolicy Audit Report
  ❌ AccountsTargetStagingAccountsDiscoverGetMethod AWS_PROXY                                          MISSING
  ❌ AccountsTargetStagingAccountsDiscoverOptionsMethod MOCK                                               MISSING
  ❌ AccountsTargetStagingAccountsSyncPostMethod AWS_PROXY                                          MISSING
  ❌ AccountsTargetStagingAccountsSyncOptionsMethod MOCK                                               MISSING
  ❌ QueryHandlerApiPermission                AWS::Lambda::Permission                            MISSING

cfn/apigateway/operations-methods-stack.yaml
--------------------------------------------------------------------------------
  ❌ ExecutionsGetMethod                      AWS_PROXY                                          MISSING
  ❌ ExecutionsPostMethod                     AWS_PROXY                                          MISSING
  ❌ ExecutionsDeleteMethod                   AWS_PROXY                                          MISSING
  ❌ ExecutionsOptionsMethod                  MOCK                                               MISSING
  ❌ ExecutionsDeletePostMethod               AWS_PROXY                                          MISSING
  ❌ ExecutionsDeleteOptionsMethod            MOCK                                               MISSING
  ❌ ExecutionGetMethod                       AWS_PROXY                                          MISSING
  ❌ ExecutionOptionsMethod                   MOCK                                               MISSING
  ❌ ExecutionCancelMethod                    AWS_PROXY                                          MISSING
  ❌ ExecutionCancelOptionsMethod             MOCK                                               MISSING
  ❌ ExecutionPauseMethod                     AWS_PROXY                                          MISSING
  ❌ ExecutionPauseOptionsMethod              MOCK                                               MISSING
  ❌ ExecutionResumeMethod                    AWS_PROXY                                          MISSING
